...Mass Properties...
15 Num Comps
15 Total Num Meshes
35600 Total Num Tris

4.470566419281916e+02             Total Mass
1.868022255984330e+01 -6.362392677684093e-06 -1.320838099788682e-02       Center of Gravity
4.203385557795086e+03 3.564830681979574e+04 3.859012263687652e+04       Ixx, Iyy, Izz
-2.560215596683015e+00 1.316300404537315e+03 3.847398374494026e+00       Ixy, Ixz, Iyz
4.470566419281916e+02             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
2.170422282778097e+01	2.941742512672756e+02	1.354818298957404e+01	-9.766809977135094e-06	-2.627469522190560e-01	2.369669246440316e+03	9.756399986057133e+03	1.149832582919170e+04	-1.661944748823924e+00	-1.987390730761823e+02	2.536151134411727e+00	2.941742512672756e+02
2.249346729424573e+01	3.070228001591595e+02	1.392253278600868e+01	-9.358080282033238e-06	-2.553612894724211e-01	2.860114733612837e+03	1.075502083379421e+04	1.296366748813916e+04	-1.728499496948110e+00	-1.793192771079081e+02	2.645045664792965e+00	3.070228001591595e+02
2.328271176071049e+01	3.184559902641962e+02	1.425858143607850e+01	-8.938955909197995e-06	-2.448056615916380e-01	3.330580297573745e+03	1.173299701399625e+04	1.439058969076472e+04	-1.791625517480768e+00	-1.489983995377174e+02	2.750532728313303e+00	3.184559902641962e+02
2.407195622717525e+01	3.288292970444284e+02	1.456815588145916e+01	-8.656966035573133e-06	-2.346527431657042e-01	3.619183648657472e+03	1.271304738200845e+04	1.563675453527472e+04	-1.835116686458850e+00	-1.172776863365459e+02	2.823631921027485e+00	3.288292970444284e+02
2.486120069364001e+01	3.385782496023692e+02	1.486453169906870e+01	-8.407699134084963e-06	-2.257060339074374e-01	3.751654672632767e+03	1.372913380399456e+04	1.676192902656499e+04	-1.893217148086464e+00	-8.700704160953180e+01	2.909883116377522e+00	3.385782496023692e+02
2.565044516010478e+01	3.478813277951439e+02	1.515296970447842e+01	-8.182859580437918e-06	-2.191940054228651e-01	3.771887606666932e+03	1.479346696933720e+04	1.782692284396714e+04	-1.972451335351666e+00	-6.323951231859133e+01	3.000338226111488e+00	3.478813277951439e+02
2.643968962656954e+01	3.570277219189832e+02	1.544211472721775e+01	-7.973229755689708e-06	-2.125664641663546e-01	3.789991602154094e+03	1.593933850721335e+04	1.897214985117032e+04	-2.050564340587304e+00	-3.723093576032738e+01	3.088064153944701e+00	3.570277219189832e+02
2.722893409303430e+01	3.659641862312369e+02	1.572993658132411e+01	-7.778531788399748e-06	-2.056043424193865e-01	3.807426549216187e+03	1.716062585739741e+04	2.019305295334188e+04	-2.126467055627887e+00	-7.945308319311128e+00	3.175088782097832e+00	3.659641862312369e+02
2.801817855949906e+01	3.746478219838339e+02	1.601475504580419e+01	-7.598239970926743e-06	-1.982267199893671e-01	3.824096870089582e+03	1.845099716781500e+04	2.148329519400778e+04	-2.198503566487797e+00	2.522025883853227e+01	3.258634449016569e+00	3.746478219838339e+02
2.880742302596382e+01	3.830455279378737e+02	1.629521534681171e+01	-7.431659811684400e-06	-1.904070408342027e-01	3.839955845050233e+03	1.980414004719939e+04	2.283654038879188e+04	-2.266158371565996e+00	6.268592308770540e+01	3.340238277640694e+00	3.830455279378737e+02
2.959666749242859e+01	3.911964564067608e+02	1.657236301314567e+01	-7.270898952359122e-06	-1.818221968025781e-01	3.855308203185693e+03	2.122493871027348e+04	2.425737856552421e+04	-2.329468167877102e+00	1.064160862958969e+02	3.418945934637484e+00	3.911964564067608e+02
